iati_identifier,transaction_number,title,date,transaction_type,finance_type,original_transaction_value,wb_sector_name,wb_sector_percentage,recipient_name,recipient_percentage,split_transaction_value
44000-P165017,0,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,832724.0,Climate change,77.0,Rwanda,100.0,641197.48
44000-P165017,0,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,832724.0,Gender,44.0,Rwanda,100.0,366398.56
44000-P165017,0,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,832724.0,Climate adaptation,37.0,Rwanda,100.0,308107.88
44000-P165017,0,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,832724.0,Climate mitigation,40.0,Rwanda,100.0,333089.60000000003
44000-P112712,1,Second Emergency Demobilization and Reintegration Project,2012-05-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1324871.0,Gender,10.0,Rwanda,100.0,132487.1
44000-P112712,2,Second Emergency Demobilization and Reintegration Project,2011-06-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1917919.0,Gender,10.0,Rwanda,100.0,191791.90000000002
44000-P112712,3,Second Emergency Demobilization and Reintegration Project,2013-03-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,12353.0,Gender,10.0,Rwanda,100.0,1235.3000000000002
44000-P175273,4,Access to Finance for Recovery and Resilience Project,2022-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5085723.0,Gender,77.0,Rwanda,100.0,3916006.71
44000-P175273,4,Access to Finance for Recovery and Resilience Project,2022-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5085723.0,Climate change,6.0,Rwanda,100.0,305143.38
44000-P175273,4,Access to Finance for Recovery and Resilience Project,2022-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,5085723.0,Climate adaptation,6.0,Rwanda,100.0,305143.38
44000-P168551,5,Rwanda Quality Basic Education for Human Capital Development Project,2024-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11203857.0,Gender,37.0,Rwanda,100.0,4145427.09
44000-P168551,5,Rwanda Quality Basic Education for Human Capital Development Project,2024-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11203857.0,Climate mitigation,5.0,Rwanda,100.0,560192.85
44000-P168551,5,Rwanda Quality Basic Education for Human Capital Development Project,2024-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11203857.0,Climate change,19.0,Rwanda,100.0,2128732.83
44000-P168551,5,Rwanda Quality Basic Education for Human Capital Development Project,2024-01-31T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,11203857.0,Climate adaptation,15.0,Rwanda,100.0,1680578.55
44000-P151279,6,Social Protection System Support,2015-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,66240910.0,Gender,4.0,Rwanda,100.0,2649636.4
44000-P165017,7,Second Rwanda Urban Development Project,2023-04-30T00:00:00Z,Disbursement,Aid loan excluding debt reorganisation,1258916.0,Climate change,77.0,Rwanda,100.0,969365.3200000001
