unique_id,text,climate_adaptation,climate_mitigation
2013100013|2014|Electrical Power and transmision|39.932018|23630,"Electrical Power and transmision ELECTRICAL POWER AND TRANSMISION Power supply and distribution to the areas, villages, and communities that are not linked to the electricity grid -  targeting 70 villages and 159 power distribution station",0,1
2012030004|2014|Metolong Dam|8.392293|14021,Metolong Dam METOLONG DAM Metolong Dam for potables water project,1,0
2009030025|2014|Al Wahda Dam|31140,Al Wahda Dam AL WAHDA DAM Al Wahda Dam for agrgulture irrigation,1,0
2009030031|2014|Water reservoirs|14031,Water reservoirs WATER RESERVOIRS Construction of 20 Dams - water reservoir,1,0
2009030092|2014|Seart Dam|1.831837|14040,Seart Dam SEART DAM Seart Dam,1,0
2013030002|2014|Tirana Northern Boulevard & River Regeneration Project|1.880607|14040,Tirana Northern Boulevard & River Regeneration Project TIRANA NORTHERN BOULEVARD & RIVER REGENERATION PROJECT Tirana Northern Boulevard & River Regeneration Project the river flow control,1,0
2013030010|2014|Construction of two dams in Socotra island and Al mukall city|0.358313|14031,Construction of two dams in Socotra island and Al mukall city CONSTRUCTION OF TWO DAMS IN SOCOTRA ISLAND AND AL MUKALL CITY Construction of two dams in Socotra island and Al mukall city,1,0
2014080028|2014|Wildlife conservation|0.008988|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Carabaya stubfoot toad,0,0
2014080013|2014|Wildlife conservation|0.012362|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Dragonflies and Damselflies,0,0
2014080014|2014|Wildlife conservation|0.009893|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Forest Hinged Tortoise,0,0
2014080015|2014|Wildlife conservation|0.014979|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Cacheo de Lago Enriquillo,0,0
2014080016|2014|Wildlife conservation|0.002249|41030,Wildlife conservation WILDLIFE CONSERVATION Protection of endangered species: Short-tailed Green Magpie,0,0
